#  
"120 ";"HD 147379                          ";PM*;16 16 42.7463475871 +67 14 19.831647336;"     ~   ";"10.01    ";"     ~   ";"8.730    ";"     ~   ";"M1-Ve                  ";" 209";"   0"
"121 ";"V* EW Dra                          ";BY*;16 16 45.3144811630 +67 15 22.481125328;"     ~   ";"12.20    ";"     ~   ";"10.310   ";"     ~   ";"M3.0Ve                 ";" 128";"   0"
"122 ";"G 252-13                           ";PM*;08 31 30.1192199475 +73 03 45.775727249;"     ~   ";"14.61    ";"     ~   ";"12.5     ";"     ~   ";"M4.0Ve                 ";"  39";"   0"
"123 ";"EGGR 321                           ";WD*;07 33 30.8802796728 +64 09 27.434704716;"     ~   ";"16.4     ";"     ~   ";"15.6     ";"     ~   ";"DA11P                  ";"  44";"   0"
"124 ";"V* CM Dra                          ";BY*;16 34 20.3302660573 +57 09 44.368918696;"     ~   ";"14.50    ";"12.87    ";"10.85    ";"9.26     ";"M4.5V                  ";" 425";"   0"
"125 ";"EGGR 258                           ";WD*;16 34 21.5518633862 +57 10 08.868180953;"     ~   ";"15.49    ";"     ~   ";"14.9     ";"     ~   ";"DQ8                    ";" 113";"   0"
"126 ";"G 254-29                           ";PM*;11 47 41.3869161825 +78 41 28.176228837;"     ~   ";"12.741   ";"     ~   ";"10.0     ";"     ~   ";"M4.0Ve                 ";" 158";"   0"
"127 ";"G 252-33                           ";PM*;09 21 19.3814972444 +73 06 38.573110420;"     ~   ";"16.92    ";"     ~   ";"14.2     ";"     ~   ";"M5V                    ";"  18";"   0"
"128 ";"G 252-25                           ";PM*;08 59 56.2023588311 +72 57 36.273223807;"     ~   ";"16.05    ";"     ~   ";"13.4     ";"     ~   ";"M5V                    ";"  24";"   0"
"129 ";"HD 75632B                          ";PM*;08 55 24.9209031572 +70 47 38.174757713;"     ~   ";"10.33    ";"8.94     ";"8.1      ";"     ~   ";"M1V                    ";"  28";"   0"
"130 ";"LP 35-347                          ";PM*;08 25 52.8154656671 +69 02 01.090514636;"     ~   ";"17.71    ";"     ~   ";"14.5     ";"     ~   ";"M7V                    ";"  28";"   0"
"131 ";"G 234-5                            ";PM*;07 34 27.4329569107 +62 56 29.358331997;"     ~   ";"     ~   ";"     ~   ";"9.973    ";"     ~   ";"M0V                    ";"  68";"   0"
"132 ";"2MASS J07171626+5705430            ";BD*;07 17 16.2669618792 +57 05 43.097883000;"     ~   ";"     ~   ";"     ~   ";"     ~   ";"     ~   ";"L3                     ";"  15";"   0"
"133 ";"G 193-27                           ";"** ";07 03 55.7295368813 +52 42 06.567980132;"     ~   ";"     ~   ";"13.29    ";"11.94    ";"10.14    ";"M5.0Ve                 ";"  54";"   0"
"134 ";"2MASS J06523073+4710348            ";BD*;06 52 30.7182715296 +47 10 34.926594456;"     ~   ";"     ~   ";"     ~   ";"     ~   ";"     ~   ";"L3.5+L6.5              ";"  33";"   0"
"135 ";"G 202-48                           ";PM*;16 25 24.6230388531 +54 18 14.765465640;"     ~   ";"11.78    ";"10.07    ";"9.66     ";"     ~   ";"M1.5V                  ";" 181";"   0"
"136 ";"BD+55 1823                         ";SB*;16 17 05.3518858129 +55 16 08.771396846;"12.00    ";"10.92    ";"9.46     ";"9.552    ";"8.55     ";"M1.5Ve                 ";" 188";"   0"
"137 ";"HD 97584                           ";PM*;11 15 11.9031954572 +73 28 30.737755312;"     ~   ";"8.70     ";"7.65     ";"8.09     ";"     ~   ";"K4V                    ";"  79";"   0"
"138 ";"HD 97584B                          ";PM*;11 15 10.9770415185 +73 28 35.995233218;"     ~   ";"11.8     ";"11.33    ";"10.7     ";"     ~   ";"M2.5V                  ";"  41";"   0"
"139 ";"LP 36-276                          ";PM*;09 45 08.5785627408 +71 44 51.101797056;"     ~   ";"16.6     ";"     ~   ";"14.6     ";"     ~   ";"M5.5                   ";"  11";"   0"
"140 ";"G 236-1                            ";PM*;09 42 34.8407291884 +70 02 01.964331947;"     ~   ";"11.86    ";"10.58    ";"9.53     ";"8.24     ";"M2.5V                  ";"  86";"   0"
"141 ";"G 236-2                            ";Er*;09 42 51.7275258471 +70 02 21.878099108;"     ~   ";"     ~   ";"     ~   ";"10.6     ";"     ~   ";"M3.5V                  ";"  97";"   0"
"142 ";"G 234-53                           ";PM*;09 02 52.8711652430 +68 03 46.574142368;"     ~   ";"14.0     ";"12.622   ";"12.357   ";"9.75     ";"M4.0Ve                 ";"  36";"   0"
"143 ";"G 234-37                           ";PM*;08 35 49.0405553065 +68 04 09.128184973;"     ~   ";"13.420   ";"     ~   ";"11.1     ";"     ~   ";"M3.0Ve                 ";"  50";"   0"
"144 ";"BD+67 552                          ";"** ";08 36 25.4659696636 +67 17 41.782633862;"     ~   ";"11.153   ";"     ~   ";"8.4      ";"     ~   ";"M0.5Ve                 ";"  97";"   0"
"145 ";"* pi.01 UMa                        ";BY*;08 39 11.7046112880 +65 01 15.263122512;"6.33     ";"6.26     ";"5.64     ";"5.12     ";"4.79     ";"G0.5V                  ";" 537";"   0"
"146 ";"MCC 499                            ";PM*;07 35 21.8791699200 +54 50 58.969242060;"     ~   ";"12.93    ";"11.325   ";"10.868   ";"     ~   ";"M2.5Ve                 ";"  51";"   0"
